agency_dimension,log_indicator,spearman_rho,p_approx,n
goal_setting,off_task_ratio,-0.8385254915624211,0.00929216290774093,8
responsible_action,technical_parameter_density,0.6831300510639733,0.061834729872142,8
self_reflection,off_task_ratio,-0.6805555555555556,0.0632168582279975,8
self_cognition,off_task_ratio,-0.6666666666666666,0.07098765432098264,8
selective_action,technical_parameter_density,0.664052277510436,0.07251011149399877,8
motivation,technical_parameter_density,0.6260614855788014,0.09680053497397245,8
self_cognition,technical_parameter_density,0.6182840223353118,0.10227853298591816,8
self_adjustment,n_iterations,0.6089427620704216,0.10908704110593104,8
goal_setting,technical_parameter_density,0.5855400437691199,0.12724658986362858,8
motivation,performance_goal_density,0.5769586239647777,0.13430118862982576,8
goal_setting,design_metric_improvement_after_uptake,-0.5718627694010401,0.13859097559841937,8
motivation,off_task_ratio,-0.562543950463012,0.1466295704199998,8
self_efficacy,transformative_uptake_rate,0.5533985905294665,0.15476201507127763,8
overall_agency,technical_parameter_density,0.5476190476190477,0.1600256425387956,8
responsible_action,solar_change,0.543045080249949,0.16425940308197085,8
self_efficacy,technical_parameter_density,0.5400617248673217,0.1670532381439127,8
selective_action,solar_change,0.5350452443251682,0.1718085982598463,8
goal_setting,transformative_uptake_rate,0.5,0.20703125000000044,8
participative_action,off_task_ratio,-0.4999999999999999,0.20703125000000022,8
selective_action,AI_reasoning_uptake_rate,-0.49661013040575563,0.21062265031332572,8
motivation,solar_change,0.49021687111776757,0.21748368422278053,8
self_reflection,transformative_uptake_rate,0.4844813951249544,0.22373596974293708,8
self_cognition,n_iterations,0.4691358024691357,0.24091289714072595,8
self_adjustment,transformative_uptake_rate,0.4648348401006842,0.24584345469422164,8
self_efficacy,solar_change,0.45456864504849476,0.25781641881339334,8
self_efficacy,off_task_ratio,-0.44194173824159216,0.27293314570826954,8
overall_agency,solar_change,0.43643578047198484,0.2796582909046581,8
self_adjustment,solar_change,0.43195939772483116,0.2851851079964369,8
self_reflection,design_metric_improvement_after_uptake,-0.4262413420606707,0.2923217357728616,8
self_adjustment,technical_parameter_density,0.41239304942116134,0.3099587355062414,8
overall_agency,off_task_ratio,-0.40915854419248576,0.31414942752218256,8
participative_action,technical_parameter_density,0.4000661320993194,0.3260725127433415,8
self_cognition,design_metric_improvement_after_uptake,-0.39395033129849866,0.33420968087401315,8
overall_agency,transformative_uptake_rate,0.3903600291794133,0.339030183245566,8
responsible_action,performance_goal_density,0.3903600291794133,0.339030183245566,8
motivation,AI_reasoning_uptake_rate,-0.3727481138063876,0.3631364403166222,8
self_adjustment,performance_goal_density,-0.37115374447904514,0.3653559363287777,8
goal_setting,net_change,0.36391267143702544,0.37551263108404,8
responsible_action,AI_reasoning_uptake_rate,-0.36391267143702544,0.37551263108404,8
participative_action,n_iterations,0.345679012345679,0.4016340959017619,8
motivation,prompt_after_reasoning_alignment,-0.33144431589465956,0.42255559002242227,8
motivation,n_iterations,-0.32502539360085136,0.4321373554205681,8
self_cognition,transformative_uptake_rate,0.32298759674996963,0.43519810063588027,8
selective_action,prompt_after_reasoning_alignment,-0.3192559026492481,0.4408263835229316,8
participative_action,design_metric_improvement_after_uptake,-0.30999370331685144,0.4549248030263593,8
self_reflection,technical_parameter_density,0.303080403105545,0.46556558746857624,8
responsible_action,prompt_after_reasoning_alignment,-0.29277002188455997,0.4816178143121548,8
overall_agency,n_iterations,0.29095718698132317,0.48446244881272893,8
self_reflection,prompt_after_reasoning_alignment,0.27883397085710143,0.5036528556919291,8
self_efficacy,n_iterations,0.27498597046143514,0.5098037847002246,8
motivation,net_change,0.2550381831306862,0.5421348082205761,8
participative_action,transformative_uptake_rate,0.23602939762497777,0.5736066382461824,8
