dimension,n_items,inter_item_r,spearman_brown,alpha
self_cognition,2,0.6799158686136547,0.8094641896260593,0.8088043275508305
goal_setting,2,0.8699721954316556,0.9304653807762477,0.9280522177718438
self_adjustment,2,0.5965664959287877,0.7473118062417322,0.7457013574660636
self_reflection,2,0.6791637467776842,0.8089309313412699,0.8078484438430313
selective_action,2,0.7766906174499598,0.8743116103857459,0.8743100457341111
responsible_action,2,0.6820361566851206,0.8109649176974246,0.8094090973501489
participative_action,2,0.801058478845098,0.8895418869006017,0.8893989983305508
motivation,2,0.8820906923334547,0.9373519521950565,0.9371196754563895
self_efficacy,1,,,
overall_agency_all_items,17,,,0.9609365006454014
