agency_dimension,log_indicator,spearman_rho,p_approx,n
goal_setting,off_task_ratio,-0.8239938325886025,0.0009818617772414662,12
self_cognition,off_task_ratio,-0.7064349970383008,0.010223279191077461,12
motivation,off_task_ratio,-0.5759194113040745,0.050031204865646606,12
participative_action,off_task_ratio,-0.5577636166797094,0.05951392225406549,12
motivation,prompt_after_reasoning_alignment,-0.5565439674263195,0.0601926159593833,12
responsible_action,AI_reasoning_uptake_rate,-0.5564538962470945,0.06024294984109968,12
self_reflection,off_task_ratio,-0.5560273379169579,0.06048171791490353,12
self_adjustment,transformative_uptake_rate,0.5553936543917932,0.06083763798844166,12
overall_agency,off_task_ratio,-0.5543110373000049,0.06144907094198526,12
responsible_action,solar_change,0.5480505735432807,0.10097559073623463,10
selective_action,solar_change,0.5443310539518174,0.10378649158622899,10
motivation,AI_reasoning_uptake_rate,-0.5434310504533092,0.06783217208078973,12
responsible_action,prompt_after_reasoning_alignment,-0.5363586378439413,0.07221824492223128,12
selective_action,AI_reasoning_uptake_rate,-0.5356988439523679,0.07263710665321743,12
motivation,n_iterations,-0.5183497735833368,0.0842568018918699,12
motivation,solar_change,0.5115204913218061,0.13072588194272572,10
self_efficacy,off_task_ratio,-0.4925182813112043,0.1037971015996011,12
self_efficacy,solar_change,0.4907407407407407,0.14981675392363702,10
self_reflection,transformative_uptake_rate,0.4808289466783116,0.11355484983833719,12
self_adjustment,solar_change,0.4678621783702883,0.17268959790345684,10
overall_agency,solar_change,0.4670993664969138,0.1734859197944234,10
responsible_action,off_task_ratio,-0.4624514959848372,0.13008803340292796,12
selective_action,prompt_after_reasoning_alignment,-0.4594024030765273,0.1329745681193515,12
participative_action,AI_reasoning_uptake_rate,-0.45409851244102845,0.13809417090959086,12
self_adjustment,technical_parameter_density,0.4480122608514895,0.14412398802362536,12
overall_agency,AI_reasoning_uptake_rate,-0.42450705623443025,0.1689869833956017,12
self_cognition,AI_reasoning_uptake_rate,-0.4209799875242357,0.17293607222991358,12
self_reflection,technical_parameter_density,0.3921624700726418,0.20736357746600076,12
