dimension,count,mean,std,min,max
self_cognition,38.0,3.3026315789473686,0.9763381232276603,1.0,5.0
goal_setting,38.0,3.276315789473684,1.0948118956108313,1.0,5.0
self_adjustment,38.0,3.723684210526316,0.9911593567912101,1.0,5.0
self_reflection,38.0,3.4473684210526314,1.0252848891116473,1.0,5.0
selective_action,38.0,3.3815789473684212,1.061833005437625,1.0,5.0
responsible_action,38.0,3.4078947368421053,1.120178938154554,1.0,5.0
participative_action,38.0,3.1578947368421053,1.30542145600928,1.0,5.0
motivation,38.0,3.5526315789473686,1.1842974521597327,1.0,5.0
self_efficacy,38.0,3.4473684210526314,1.1317856835860811,1.0,5.0
key_abilities,38.0,3.4375,0.8780112278417721,1.0,5.0
active_actions,38.0,3.3157894736842106,1.0525169844372322,1.0,5.0
mental_characteristics,38.0,3.5,1.119543826019499,1.0,5.0
overall_agency,38.0,3.4108187134502925,0.9233683924282355,1.0,5.0
