agency_dimension,log_indicator,spearman_rho,p_approx,n
goal_setting,off_task_ratio,-0.789302177411082,0.0013351114341082493,13
self_adjustment,transformative_uptake_rate,0.6080275873963353,0.027476710780772295,13
motivation,prompt_after_reasoning_alignment,-0.5498246387180254,0.05157883815182518,13
responsible_action,solar_change,0.5490879570169634,0.08021732363242462,11
motivation,AI_reasoning_uptake_rate,-0.5482667081123174,0.052380911907853545,13
selective_action,solar_change,0.5458385278564186,0.08239148116350736,11
self_reflection,transformative_uptake_rate,0.5380026443146371,0.05788911497975735,13
responsible_action,prompt_after_reasoning_alignment,-0.5336804934727885,0.06032717391591014,13
motivation,n_iterations,-0.5313550772107016,0.06166854887132289,13
responsible_action,AI_reasoning_uptake_rate,-0.5286394907921325,0.06326151186582485,13
motivation,off_task_ratio,-0.5273354529817711,0.06403668785865291,13
self_cognition,off_task_ratio,-0.5213257359063636,0.06769580841389011,13
motivation,solar_change,0.5106485139133421,0.10847290878260174,11
participative_action,off_task_ratio,-0.4908472601886248,0.08853174467614844,13
self_adjustment,technical_parameter_density,0.48014152945087224,0.09679401172188107,13
self_efficacy,off_task_ratio,-0.4801382997483599,0.09679658089671106,13
selective_action,AI_reasoning_uptake_rate,-0.4781743138067118,0.09836754208721321,13
overall_agency,solar_change,0.4730161648796401,0.14172116128419776,11
self_adjustment,solar_change,0.4726358168660257,0.1420863961388621,11
overall_agency,off_task_ratio,-0.4676980959136924,0.10704154411077793,13
self_efficacy,solar_change,0.46553149917011705,0.14901749290152377,11
selective_action,prompt_after_reasoning_alignment,-0.4587445459070521,0.1148535707994418,13
self_reflection,performance_goal_density,0.43720710454000644,0.13519036767154935,13
self_reflection,technical_parameter_density,0.4349688637459077,0.13743142404495923,13
self_reflection,off_task_ratio,-0.41733537547135824,0.1559447247181167,13
participative_action,AI_reasoning_uptake_rate,-0.4046990428792889,0.1701605128412116,13
overall_agency,AI_reasoning_uptake_rate,-0.3953626500144943,0.18118005790178104,13
goal_setting,design_metric_improvement_after_uptake,-0.3885482088292869,0.18950220816747754,13
responsible_action,off_task_ratio,-0.38771272623744635,0.19053882437196812,13
self_cognition,design_metric_improvement_after_uptake,-0.3766735669952626,0.20457073082495647,13
