designer_profile,source,target,edge,mean_weight
AI-guided technical optimizers,VisualSpatial,AIParameter,VisualSpatial__AIParameter,0.96
AI-guided technical optimizers,AIEnergy,AIParameter,AIEnergy__AIParameter,0.9324747474747475
AI-guided technical optimizers,VisualSpatial,AIEnergy,VisualSpatial__AIEnergy,0.8924747474747474
AI-guided technical optimizers,TechPrompt,AIParameter,TechPrompt__AIParameter,0.7723953823953823
AI-guided technical optimizers,TechPrompt,AIEnergy,TechPrompt__AIEnergy,0.7657287157287158
AI-guided technical optimizers,AIParameter,SelectiveUptake,AIParameter__SelectiveUptake,0.7635900356952989
AI-guided technical optimizers,GoalPrompt,TechPrompt,GoalPrompt__TechPrompt,0.7600144300144299
AI-guided technical optimizers,GoalPrompt,AIParameter,GoalPrompt__AIParameter,0.7600144300144299
AI-guided technical optimizers,GoalPrompt,AIEnergy,GoalPrompt__AIEnergy,0.7533477633477633
AI-guided technical optimizers,TechPrompt,VisualSpatial,TechPrompt__VisualSpatial,0.7457287157287158
AI-guided technical optimizers,VisualSpatial,SelectiveUptake,VisualSpatial__SelectiveUptake,0.7369233690286322
AI-guided technical optimizers,GoalPrompt,VisualSpatial,GoalPrompt__VisualSpatial,0.7333477633477634
Off-task but technically iterative designers,VisualSpatial,AIParameter,VisualSpatial__AIParameter,0.9722222222222222
Off-task but technically iterative designers,AIEnergy,AIParameter,AIEnergy__AIParameter,0.8765873015873016
Off-task but technically iterative designers,VisualSpatial,AIEnergy,VisualSpatial__AIEnergy,0.8488095238095238
Off-task but technically iterative designers,AIParameter,AIFeasibility,AIParameter__AIFeasibility,0.7573412698412698
Off-task but technically iterative designers,VisualSpatial,AIFeasibility,VisualSpatial__AIFeasibility,0.743452380952381
Off-task but technically iterative designers,AIParameter,SelectiveUptake,AIParameter__SelectiveUptake,0.7212301587301587
Off-task but technically iterative designers,VisualSpatial,SelectiveUptake,VisualSpatial__SelectiveUptake,0.7073412698412699
Off-task but technically iterative designers,TechPrompt,AIParameter,TechPrompt__AIParameter,0.7017857142857142
Off-task but technically iterative designers,AIEnergy,AIFeasibility,AIEnergy__AIFeasibility,0.6906746031746032
Off-task but technically iterative designers,TechPrompt,AIEnergy,TechPrompt__AIEnergy,0.6839285714285714
Off-task but technically iterative designers,TechPrompt,VisualSpatial,TechPrompt__VisualSpatial,0.6740079365079366
Off-task but technically iterative designers,AIEnergy,SelectiveUptake,AIEnergy__SelectiveUptake,0.6228174603174603
Off-task weak-coupling explorers,VisualSpatial,AIParameter,VisualSpatial__AIParameter,0.7842712842712842
Off-task weak-coupling explorers,AIParameter,AIFeasibility,AIParameter__AIFeasibility,0.6551226551226551
Off-task weak-coupling explorers,AIParameter,SelectiveUptake,AIParameter__SelectiveUptake,0.6125541125541126
Off-task weak-coupling explorers,VisualSpatial,SelectiveUptake,VisualSpatial__SelectiveUptake,0.5995670995670996
Off-task weak-coupling explorers,VisualSpatial,AIFeasibility,VisualSpatial__AIFeasibility,0.5101010101010102
Off-task weak-coupling explorers,AIParameter,AIClimate,AIParameter__AIClimate,0.5101010101010102
Off-task weak-coupling explorers,AIClimate,AIFeasibility,AIClimate__AIFeasibility,0.4613997113997114
Off-task weak-coupling explorers,VisualSpatial,AIClimate,VisualSpatial__AIClimate,0.3780663780663781
Off-task weak-coupling explorers,AIFeasibility,SelectiveUptake,AIFeasibility__SelectiveUptake,0.36724386724386726
Off-task weak-coupling explorers,AIClimate,SelectiveUptake,AIClimate__SelectiveUptake,0.34235209235209235
Off-task weak-coupling explorers,AIParameter,OffTask,AIParameter__OffTask,0.23051948051948054
